Scenario,CorrelationType,Size,InstanceFile,Algorithm,Run,ObjectiveValue,ExecutionTime,Error
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-10,9,716.000000,0.0065,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-50,9,714.000000,0.0104,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-100,9,667.000000,0.0069,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-300,9,682.000000,0.0128,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-2,10,712.000000,0.0025,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-10,10,687.000000,0.0038,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-50,10,678.000000,0.0102,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-100,10,665.000000,0.0089,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-300,10,741.000000,0.0232,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-2,1,648.000000,0.0010,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-10,1,713.000000,0.0099,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-50,1,728.000000,0.0184,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-100,1,710.000000,0.0158,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-300,1,678.000000,0.0064,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-2,2,685.000000,0.0023,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-10,2,696.000000,0.0056,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-50,2,708.000000,0.0171,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-100,2,693.000000,0.0141,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-300,2,669.000000,0.0091,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-2,3,675.000000,0.0016,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-10,3,719.000000,0.0089,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-50,3,697.000000,0.0120,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-100,3,707.000000,0.0114,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-300,3,670.000000,0.0088,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-2,4,683.000000,0.0015,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-10,4,664.000000,0.0032,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-50,4,684.000000,0.0161,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-100,4,691.000000,0.0131,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-300,4,670.000000,0.0130,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-2,5,667.000000,0.0026,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-10,5,673.000000,0.0024,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-50,5,682.000000,0.0107,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-100,5,703.000000,0.0153,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-300,5,681.000000,0.0113,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-2,6,639.000000,0.0009,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-10,6,733.000000,0.0103,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-50,6,695.000000,0.0074,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-100,6,683.000000,0.0133,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-300,6,697.000000,0.0119,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-2,7,647.000000,0.0017,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-10,7,680.000000,0.0051,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-50,7,716.000000,0.0093,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-100,7,733.000000,0.0158,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-300,7,668.000000,0.0072,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-2,8,710.000000,0.0019,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-10,8,654.000000,0.0032,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-50,8,672.000000,0.0084,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-100,8,732.000000,0.0245,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-300,8,672.000000,0.0094,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-2,9,676.000000,0.0018,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-10,9,685.000000,0.0054,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-50,9,683.000000,0.0174,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-100,9,711.000000,0.0204,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-300,9,734.000000,0.0254,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-2,10,643.000000,0.0012,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-10,10,667.000000,0.0021,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-50,10,673.000000,0.0104,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-100,10,680.000000,0.0102,
scenario1,correlated_sc1,300,kpfs_4.txt,ILS-300,10,687.000000,0.0079,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-2,1,652.000000,0.0009,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-10,1,674.000000,0.0031,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-50,1,712.000000,0.0096,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-100,1,674.000000,0.0138,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-300,1,702.000000,0.0285,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-2,2,661.000000,0.0015,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-10,2,685.000000,0.0054,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-50,2,661.000000,0.0095,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-100,2,733.000000,0.0181,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-300,2,687.000000,0.0294,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-2,3,655.000000,0.0011,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-10,3,720.000000,0.0071,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-50,3,662.000000,0.0113,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-100,3,667.000000,0.0098,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-300,3,693.000000,0.0070,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-2,4,677.000000,0.0012,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-10,4,674.000000,0.0059,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-50,4,687.000000,0.0158,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-100,4,667.000000,0.0080,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-300,4,673.000000,0.0057,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-2,5,664.000000,0.0015,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-10,5,680.000000,0.0027,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-50,5,665.000000,0.0096,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-100,5,681.000000,0.0117,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-300,5,681.000000,0.0095,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-2,6,687.000000,0.0027,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-10,6,711.000000,0.0112,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-50,6,674.000000,0.0068,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-100,6,673.000000,0.0057,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-300,6,697.000000,0.0214,
scenario1,correlated_sc1,300,kpfs_5.txt,ILS-2,7,680.000000,0.0020,
