Instancia,Incumbent,BestBd,Gap,TempoExecucao(s),NosExplorados
instances/scenario1/not_correlated_sc1/800/kpfs_4.txt,421,986,1.34204,1800.03,1851
instances/scenario1/not_correlated_sc1/800/kpfs_5.txt,411,986,1.39903,1800.01,2006
instances/scenario1/not_correlated_sc1/800/kpfs_6.txt,429,1038,1.41958,1800.02,2828
instances/scenario1/not_correlated_sc1/800/kpfs_7.txt,415,1015,1.44578,1800.01,3549
instances/scenario1/not_correlated_sc1/800/kpfs_8.txt,451,1013,1.24612,1800.01,3694
instances/scenario1/not_correlated_sc1/800/kpfs_9.txt,391,954,1.4399,1800.01,3967
instances/scenario2/correlated_sc2/1000/kpfs_1.txt,206,554,1.68932,1800.01,6111
instances/scenario2/correlated_sc2/1000/kpfs_10.txt,190,628,2.30526,1800.04,1242
instances/scenario2/correlated_sc2/1000/kpfs_2.txt,212,589,1.7783,1800.03,1345
instances/scenario2/correlated_sc2/1000/kpfs_3.txt,208,582,1.79808,1800.03,1318
instances/scenario2/correlated_sc2/1000/kpfs_4.txt,195,607,2.11282,1800.02,1302
instances/scenario2/correlated_sc2/1000/kpfs_5.txt,191,602,2.15183,1800.04,1273
instances/scenario2/correlated_sc2/1000/kpfs_6.txt,185,566,2.05946,1800.03,1339
instances/scenario2/correlated_sc2/1000/kpfs_7.txt,187,598,2.19786,1800.01,1333
instances/scenario2/correlated_sc2/1000/kpfs_8.txt,171,579,2.38596,1800.07,1423
instances/scenario2/correlated_sc2/1000/kpfs_9.txt,182,563,2.09341,1800.05,1381
instances/scenario2/correlated_sc2/300/kpfs_1.txt,428,519,0.212617,1800.05,65531
instances/scenario2/correlated_sc2/300/kpfs_10.txt,433,562,0.297921,1800.03,61634
instances/scenario2/correlated_sc2/300/kpfs_2.txt,439,546,0.243736,1800.02,55142
instances/scenario2/correlated_sc2/300/kpfs_3.txt,449,560,0.247216,1800.03,67832
instances/scenario2/correlated_sc2/300/kpfs_4.txt,452,544,0.20354,1800.02,73086
instances/scenario2/correlated_sc2/300/kpfs_5.txt,464,540,0.163793,1800.05,79724
instances/scenario2/correlated_sc2/300/kpfs_6.txt,453,539,0.189845,1800.09,65063
instances/scenario2/correlated_sc2/300/kpfs_7.txt,430,518,0.204651,1800.02,65394
instances/scenario2/correlated_sc2/300/kpfs_8.txt,452,549,0.214602,1800.04,49836
instances/scenario2/correlated_sc2/300/kpfs_9.txt,415,518,0.248193,1800.06,44993
instances/scenario2/correlated_sc2/500/kpfs_1.txt,316,583,0.844937,1800.17,10266
instances/scenario2/correlated_sc2/500/kpfs_10.txt,300,573,0.91,1800.01,11146
instances/scenario2/correlated_sc2/500/kpfs_2.txt,321,589,0.834891,1800.02,10726
instances/scenario2/correlated_sc2/500/kpfs_3.txt,357,585,0.638655,1800.02,10651
instances/scenario2/correlated_sc2/500/kpfs_4.txt,324,602,0.858025,1800.03,10492
instances/scenario2/correlated_sc2/500/kpfs_5.txt,353,632,0.790368,1800.03,10653
instances/scenario2/correlated_sc2/500/kpfs_6.txt,323,568,0.758514,1800.03,10901
instances/scenario2/correlated_sc2/500/kpfs_7.txt,348,594,0.706897,1800.02,10497
instances/scenario2/correlated_sc2/500/kpfs_8.txt,338,578,0.710059,1800.02,10789
instances/scenario2/correlated_sc2/500/kpfs_9.txt,360,602,0.672222,1800.02,11343
instances/scenario2/correlated_sc2/700/kpfs_1.txt,290,579,0.996552,1800.04,9550
instances/scenario2/correlated_sc2/700/kpfs_10.txt,264,582,1.20455,1800.02,4461
instances/scenario2/correlated_sc2/700/kpfs_2.txt,268,581,1.16791,1800.02,6125
instances/scenario2/correlated_sc2/700/kpfs_3.txt,250,557,1.228,1800.02,5186
instances/scenario2/correlated_sc2/700/kpfs_4.txt,252,560,1.22222,1800.03,9062
instances/scenario2/correlated_sc2/700/kpfs_5.txt,256,583,1.27734,1800.02,7628
instances/scenario2/correlated_sc2/700/kpfs_6.txt,275,559,1.03273,1800.02,9262
instances/scenario2/correlated_sc2/700/kpfs_7.txt,269,602,1.23792,1800.02,6053
instances/scenario2/correlated_sc2/700/kpfs_8.txt,230,567,1.46522,1800.01,6187
instances/scenario2/correlated_sc2/700/kpfs_9.txt,223,555,1.48879,1800.01,7212
instances/scenario2/correlated_sc2/800/kpfs_1.txt,244,598,1.45082,1800.02,3246
instances/scenario2/correlated_sc2/800/kpfs_10.txt,231,579,1.50649,1800.02,4994
instances/scenario2/correlated_sc2/800/kpfs_2.txt,221,587,1.65611,1800.02,4262
instances/scenario2/correlated_sc2/800/kpfs_3.txt,246,576,1.34146,1800.02,5714
instances/scenario2/correlated_sc2/800/kpfs_4.txt,252,596,1.36508,1800.02,5523
instances/scenario2/correlated_sc2/800/kpfs_5.txt,225,550,1.44444,1800.02,10202
instances/scenario2/correlated_sc2/800/kpfs_6.txt,226,547,1.42035,1800.02,10339
instances/scenario2/correlated_sc2/800/kpfs_7.txt,224,564,1.51786,1800.01,10458
instances/scenario2/correlated_sc2/800/kpfs_8.txt,253,589,1.32806,1800.01,10340
instances/scenario2/correlated_sc2/800/kpfs_9.txt,233,555,1.38197,1800.01,10443
instances/scenario2/fully_correlated_sc2/1000/kpfs_1.txt,320,732,1.2875,1800.01,3063
instances/scenario2/fully_correlated_sc2/1000/kpfs_10.txt,292,715,1.44863,1800.05,1160
instances/scenario2/fully_correlated_sc2/1000/kpfs_2.txt,291,716,1.46048,1800.03,1213
instances/scenario2/fully_correlated_sc2/1000/kpfs_3.txt,281,690,1.45552,1800.04,1184
